"Song.Name","Song.Length","Album","Artist","Date.Released","Tags"
"TOMBOY","2:54","I NEVER DIE","(G)I-dle","14 March 2022","k-pop;rock;pop rock;punk;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Never Stop Me","2:24","I NEVER DIE","(G)I-dle","14 March 2022","rock;hard rock;k-pop;pop rock;banger;2022;goes hard;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"VILLAIN DIES","3:04","I NEVER DIE","(G)I-dle","14 March 2022","2022;sad;k-pop;deep;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"ALREADY","3:21","I NEVER DIE","(G)I-dle","14 March 2022","kpop;already;i never die;gidle;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"POLAROID","3:38","I NEVER DIE","(G)I-dle","14 March 2022","masterpiece;sed;2022;soojin;yuqi;😩💔;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"ESCAPE","3:29","I NEVER DIE","(G)I-dle","14 March 2022","beautiful;pop rock;k-pop;calm;2022;goated;gidle;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"LIAR","2:51","I NEVER DIE","(G)I-dle","14 March 2022","k-pop;masterpiece;w;so good fuck;2022;best of 2022;hits really hard;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"MY BAG","2:40","I NEVER DIE","(G)I-dle","14 March 2022","k-pop;kpop;rap;hip-hop;dirty south;hyphy;jeon soyeon;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Queencard","2:41","I feel","(G)I-dle","15 May 2023","korean;dance;rock;alternative rock;k-pop;alternative dance;soty;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Allergy","2:42","I feel","(G)I-dle","15 May 2023","korean;english;k-pop;pop rock;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Lucid","2:55","I feel","(G)I-dle","15 May 2023","k-pop;kpop;pop;girl group;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"All Night","2:26","I feel","(G)I-dle","15 May 2023","pop;dance;k-pop;electronic;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Paradise","3:09","I feel","(G)I-dle","15 May 2023","k-pop;rnb;vocal;contemporary rnb;k-rnb;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Peter Pan","3:10","I feel","(G)I-dle","15 May 2023","2023;(g)i-dle better;soyeon;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Oh My God","3:15","I Trust","(G)I-dle","4 April 2020","korean;lesbian;k-pop;trap;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Luv U","3:33","I Trust","(G)I-dle","4 April 2020","2020;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Maybe","3:01","I Trust","(G)I-dle","4 April 2020","2020;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"LION","3:31","I Trust","(G)I-dle","4 April 2020","k-pop;korean;2020;kpop;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Oh My God","3:15","I Trust","(G)I-dle","4 April 2020","korean;lesbian;k-pop;trap;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Nxde","2:58","I LOVE","(G)I-dle","21 October 2022","banger;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"LOVE","3:17","I LOVE","(G)I-dle","21 October 2022","korean;2022;k-pop;kpop;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Change","3:24","I LOVE","(G)I-dle","21 October 2022","k-pop;pop rock;korean;alt-pop;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Reset","3:02","I LOVE","(G)I-dle","21 October 2022","k-pop;korean;kpop;2022;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"조각품","3:06","I LOVE","(G)I-dle","21 October 2022","k-pop;korean;pop;kpop;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"DARK (X-file)","2:45","I LOVE","(G)I-dle","21 October 2022","k-pop;korean;kpop;dark pop;soty;banger;2022;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"LATATA","3:22","I Am","(G)I-dle","2 May 2018","k-pop;2018;dance;debut;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"$$$","3:31","I Am","(G)I-dle","2 May 2018","k-pop;dance;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"MAZE","3:20","I Am","(G)I-dle","2 May 2018","k-pop;house;2018;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"DON'T TEXT ME","3:36","I Am","(G)I-dle","2 May 2018","k-pop;hip-hop;trap;2018;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"What’s in your house?","Yeah it's a fascination","I Am","(G)I-dle","2 May 2018","bop;love at first listen;soojin;better than your favs;this talks me off the edge;gidle;2018;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Hear Me","3:56","I Am","(G)I-dle","2 May 2018","2018;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"HANN (Alone in winter)","2:55","I burn","(G)I-dle","9 January 2021","sad;masterpiece;holy shit;best song;2021;piece of art;very underrated;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"HWAA","3:17","I burn","(G)I-dle","9 January 2021","k-pop;fire;traditional instruments;2021;skz couldnt do this;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"MOON","3:20","I burn","(G)I-dle","9 January 2021","k-pop;hard;banger;greatest song of all time;2021;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Where is love","2:57","I burn","(G)I-dle","9 January 2021","2021;k-pop;korean;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Lost","3:01","I burn","(G)I-dle","9 January 2021","2021;beautiful;korean;dreamy;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
"Dahlia","3:10","I burn","(G)I-dle","9 January 2021","k-pop;female vocalist;pop;electropop;k-pop;korean;kpop;pop;girl group;cube entertainment;banger;electropop"
